condition,metric,mean,std,ci95_low,ci95_high
baseline,total_views,320.000000,0.000000,320.000000,320.000000
baseline,total_shares,141.100000,4.474834,139.498701,142.701299
baseline,total_negative_feedback,34.166667,3.733200,32.830758,35.502575
baseline,avg_watch_ratio,0.634558,0.004207,0.633053,0.636064
baseline,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,comedy_negative_count,5.433333,0.897634,5.112119,5.754548
baseline,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,lifestyle_traffic_pool_level,0.066667,0.253708,-0.024122,0.157455
none,total_views,320.000000,0.000000,320.000000,320.000000
none,total_shares,141.100000,4.474834,139.498701,142.701299
none,total_negative_feedback,0.000000,0.000000,0.000000,0.000000
none,avg_watch_ratio,0.634558,0.004207,0.633053,0.636064
none,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,comedy_negative_count,0.000000,0.000000,0.000000,0.000000
none,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
random,total_views,320.000000,0.000000,320.000000,320.000000
random,total_shares,141.900000,4.037326,140.455262,143.344738
random,total_negative_feedback,99.700000,8.824535,96.542181,102.857819
random,avg_watch_ratio,0.634307,0.003719,0.632976,0.635638
random,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,comedy_negative_count,6.066667,1.964045,5.363842,6.769491
random,comedy_traffic_pool_level,0.966667,0.182574,0.901333,1.032000
random,lifestyle_traffic_pool_level,0.033333,0.182574,-0.032000,0.098667
treatment,total_views,320.000000,0.000000,320.000000,320.000000
treatment,total_shares,142.133333,3.451470,140.898241,143.368426
treatment,total_negative_feedback,38.500000,4.681217,36.824848,40.175152
treatment,avg_watch_ratio,0.634900,0.003714,0.633571,0.636229
treatment,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
treatment,comedy_negative_count,6.700000,1.055364,6.322343,7.077657
treatment,comedy_traffic_pool_level,0.933333,0.253708,0.842545,1.024122
treatment,lifestyle_traffic_pool_level,0.300000,0.466092,0.133211,0.466789
