condition,metric,paired_diff_mean,paired_diff_std,paired_diff_ci95_low,paired_diff_ci95_high,paired_signflip_pvalue
none,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_shares,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_negative_feedback,-34.166667,3.733200,-35.502575,-32.830758,0.000050
none,avg_watch_ratio,0.000000,0.000000,0.000000,0.000000,1.000000
none,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
none,comedy_negative_count,-5.433333,0.897634,-5.754548,-5.112119,0.000050
none,comedy_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
none,lifestyle_traffic_pool_level,-0.066667,0.253708,-0.157455,0.024122,0.499325
random,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
random,total_shares,0.800000,5.148820,-1.042481,2.642481,0.422579
random,total_negative_feedback,65.533333,9.186697,62.245916,68.820751,0.000050
random,avg_watch_ratio,-0.000252,0.004454,-0.001846,0.001342,0.756662
random,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,comedy_negative_count,0.633333,2.296674,-0.188521,1.455188,0.168042
random,comedy_traffic_pool_level,-0.033333,0.182574,-0.098667,0.032000,1.000000
random,lifestyle_traffic_pool_level,-0.033333,0.319842,-0.147787,0.081121,1.000000
treatment,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,total_shares,1.033333,3.872835,-0.352543,2.419210,0.164942
treatment,total_negative_feedback,4.333333,4.381256,2.765521,5.901146,0.000050
treatment,avg_watch_ratio,0.000342,0.004051,-0.001108,0.001791,0.641268
treatment,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,comedy_negative_count,1.266667,0.639684,1.037759,1.495575,0.000050
treatment,comedy_traffic_pool_level,-0.066667,0.253708,-0.157455,0.024122,0.505275
treatment,lifestyle_traffic_pool_level,0.233333,0.568321,0.029962,0.436704,0.065697
