condition,metric,mean,std,ci95_low,ci95_high
baseline,total_views,320.000000,0.000000,320.000000,320.000000
baseline,total_shares,141.100000,2.758685,140.112817,142.087183
baseline,total_negative_feedback,26.200000,2.771779,25.208132,27.191868
baseline,avg_watch_ratio,0.636888,0.002648,0.635940,0.637835
baseline,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,comedy_negative_count,5.166667,0.592093,4.954789,5.378545
baseline,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
none,total_views,320.000000,0.000000,320.000000,320.000000
none,total_shares,141.100000,2.758685,140.112817,142.087183
none,total_negative_feedback,0.000000,0.000000,0.000000,0.000000
none,avg_watch_ratio,0.636888,0.002648,0.635940,0.637835
none,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,comedy_negative_count,0.000000,0.000000,0.000000,0.000000
none,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
random,total_views,320.000000,0.000000,320.000000,320.000000
random,total_shares,141.233333,2.402346,140.373665,142.093002
random,total_negative_feedback,97.333333,8.937844,94.134967,100.531700
random,avg_watch_ratio,0.636228,0.001947,0.635532,0.636925
random,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,comedy_negative_count,5.333333,1.538771,4.782691,5.883975
random,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
treatment,total_views,320.000000,0.000000,320.000000,320.000000
treatment,total_shares,141.066667,2.391556,140.210859,141.922474
treatment,total_negative_feedback,33.100000,3.790642,31.743536,34.456464
treatment,avg_watch_ratio,0.636775,0.002948,0.635720,0.637830
treatment,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
treatment,comedy_negative_count,6.766667,0.773854,6.489746,7.043587
treatment,comedy_traffic_pool_level,0.966667,0.182574,0.901333,1.032000
treatment,lifestyle_traffic_pool_level,0.100000,0.305129,-0.009189,0.209189
