condition,metric,paired_diff_mean,paired_diff_std,paired_diff_ci95_low,paired_diff_ci95_high,paired_signflip_pvalue
none,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_shares,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_negative_feedback,-34.233333,4.391868,-35.804943,-32.661724,0.000050
none,avg_watch_ratio,0.000000,0.000000,0.000000,0.000000,1.000000
none,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
none,comedy_negative_count,-5.533333,1.136642,-5.940075,-5.126591,0.000050
none,comedy_traffic_pool_level,0.100000,0.305129,-0.009189,0.209189,0.249688
none,lifestyle_traffic_pool_level,-0.033333,0.182574,-0.098667,0.032000,1.000000
random,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
random,total_shares,-0.066667,4.585835,-1.707687,1.574353,0.968102
random,total_negative_feedback,63.266667,7.714444,60.506088,66.027245,0.000050
random,avg_watch_ratio,-0.001067,0.005206,-0.002930,0.000796,0.264587
random,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,comedy_negative_count,0.533333,2.192988,-0.251417,1.318084,0.217689
random,comedy_traffic_pool_level,0.100000,0.305129,-0.009189,0.209189,0.251537
random,lifestyle_traffic_pool_level,0.000000,0.262613,-0.093975,0.093975,1.000000
treatment,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,total_shares,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,total_negative_feedback,7.666667,0.479463,7.495093,7.838240,0.000050
treatment,avg_watch_ratio,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,comedy_negative_count,1.933333,0.253708,1.842545,2.024122,0.000050
treatment,comedy_traffic_pool_level,-0.200000,0.406838,-0.345585,-0.054415,0.029499
treatment,lifestyle_traffic_pool_level,0.133333,0.345746,0.009610,0.257057,0.123994
