condition,metric,paired_diff_mean,paired_diff_std,paired_diff_ci95_low,paired_diff_ci95_high,paired_signflip_pvalue
none,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_shares,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_negative_feedback,-25.666667,2.089932,-26.414539,-24.918794,0.000050
none,avg_watch_ratio,0.000000,0.000000,0.000000,0.000000,1.000000
none,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
none,comedy_negative_count,-5.233333,0.817200,-5.525765,-4.940902,0.000050
none,comedy_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
none,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
random,total_shares,-0.600000,4.064989,-2.054638,0.854638,0.450077
random,total_negative_feedback,70.700000,7.839555,67.894651,73.505349,0.000050
random,avg_watch_ratio,0.000576,0.005378,-0.001349,0.002500,0.569622
random,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,comedy_negative_count,0.600000,2.761809,-0.388300,1.588300,0.274936
random,comedy_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,lifestyle_traffic_pool_level,0.033333,0.182574,-0.032000,0.098667,1.000000
treatment,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,total_shares,-0.166667,2.478644,-1.053638,0.720305,0.772811
treatment,total_negative_feedback,6.466667,3.245510,5.305276,7.628057,0.000050
treatment,avg_watch_ratio,0.000421,0.003820,-0.000946,0.001788,0.548723
treatment,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,comedy_negative_count,1.300000,0.651259,1.066950,1.533050,0.000050
treatment,comedy_traffic_pool_level,-0.033333,0.182574,-0.098667,0.032000,1.000000
treatment,lifestyle_traffic_pool_level,0.066667,0.253708,-0.024122,0.157455,0.498125
