condition,metric,mean,std,ci95_low,ci95_high
baseline,total_views,320.000000,0.000000,320.000000,320.000000
baseline,total_shares,141.700000,2.830255,140.687206,142.712794
baseline,total_negative_feedback,25.666667,2.089932,24.918794,26.414539
baseline,avg_watch_ratio,0.634721,0.003408,0.633501,0.635940
baseline,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,comedy_negative_count,5.233333,0.817200,4.940902,5.525765
baseline,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
none,total_views,320.000000,0.000000,320.000000,320.000000
none,total_shares,141.700000,2.830255,140.687206,142.712794
none,total_negative_feedback,0.000000,0.000000,0.000000,0.000000
none,avg_watch_ratio,0.634721,0.003408,0.633501,0.635940
none,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,comedy_negative_count,0.000000,0.000000,0.000000,0.000000
none,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
random,total_views,320.000000,0.000000,320.000000,320.000000
random,total_shares,141.100000,2.746157,140.117300,142.082700
random,total_negative_feedback,96.366667,7.765900,93.587675,99.145658
random,avg_watch_ratio,0.635297,0.004351,0.633740,0.636854
random,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,comedy_negative_count,5.833333,2.520035,4.931551,6.735116
random,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,lifestyle_traffic_pool_level,0.033333,0.182574,-0.032000,0.098667
treatment,total_views,320.000000,0.000000,320.000000,320.000000
treatment,total_shares,141.533333,2.609444,140.599556,142.467111
treatment,total_negative_feedback,32.133333,2.528913,31.228373,33.038293
treatment,avg_watch_ratio,0.635142,0.003564,0.633867,0.636418
treatment,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
treatment,comedy_negative_count,6.533333,0.860366,6.225455,6.841211
treatment,comedy_traffic_pool_level,0.966667,0.182574,0.901333,1.032000
treatment,lifestyle_traffic_pool_level,0.066667,0.253708,-0.024122,0.157455
