condition,metric,mean,std,ci95_low,ci95_high
baseline,total_views,320.000000,0.000000,320.000000,320.000000
baseline,total_shares,142.866667,5.042805,141.062122,144.671211
baseline,total_negative_feedback,33.666667,3.924576,32.262275,35.071058
baseline,avg_watch_ratio,0.636267,0.002138,0.635502,0.637032
baseline,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,comedy_negative_count,5.266667,1.048261,4.891551,5.641782
baseline,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,lifestyle_traffic_pool_level,0.033333,0.182574,-0.032000,0.098667
none,total_views,320.000000,0.000000,320.000000,320.000000
none,total_shares,142.866667,5.042805,141.062122,144.671211
none,total_negative_feedback,0.000000,0.000000,0.000000,0.000000
none,avg_watch_ratio,0.636267,0.002138,0.635502,0.637032
none,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,comedy_negative_count,0.000000,0.000000,0.000000,0.000000
none,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
random,total_views,320.000000,0.000000,320.000000,320.000000
random,total_shares,142.333333,4.558685,140.702029,143.964638
random,total_negative_feedback,95.933333,8.051272,93.052222,98.814444
random,avg_watch_ratio,0.636432,0.002448,0.635557,0.637308
random,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,comedy_negative_count,6.266667,1.837039,5.609291,6.924043
random,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
treatment,total_views,320.000000,0.000000,320.000000,320.000000
treatment,total_shares,142.633333,4.012767,141.197383,144.069284
treatment,total_negative_feedback,40.766667,4.005886,39.333179,42.200155
treatment,avg_watch_ratio,0.636220,0.002412,0.635356,0.637083
treatment,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
treatment,comedy_negative_count,6.800000,1.126484,6.396893,7.203107
treatment,comedy_traffic_pool_level,0.933333,0.253708,0.842545,1.024122
treatment,lifestyle_traffic_pool_level,0.200000,0.406838,0.054415,0.345585
