condition,metric,paired_diff_mean,paired_diff_std,paired_diff_ci95_low,paired_diff_ci95_high,paired_signflip_pvalue
none,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_shares,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_negative_feedback,-33.666667,3.924576,-35.071058,-32.262275,0.000050
none,avg_watch_ratio,0.000000,0.000000,0.000000,0.000000,1.000000
none,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
none,comedy_negative_count,-5.266667,1.048261,-5.641782,-4.891551,0.000050
none,comedy_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
none,lifestyle_traffic_pool_level,-0.033333,0.182574,-0.098667,0.032000,1.000000
random,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
random,total_shares,-0.533333,7.379998,-3.174232,2.107565,0.719164
random,total_negative_feedback,62.266667,8.149184,59.350519,65.182815,0.000050
random,avg_watch_ratio,0.000166,0.002953,-0.000891,0.001222,0.761812
random,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,comedy_negative_count,1.000000,2.274294,0.186154,1.813846,0.026999
random,comedy_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,lifestyle_traffic_pool_level,-0.033333,0.182574,-0.098667,0.032000,1.000000
treatment,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,total_shares,-0.233333,4.606467,-1.881736,1.415070,0.812359
treatment,total_negative_feedback,7.100000,4.037326,5.655262,8.544738,0.000050
treatment,avg_watch_ratio,-0.000047,0.002471,-0.000931,0.000837,0.915254
treatment,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,comedy_negative_count,1.533333,0.507416,1.351757,1.714910,0.000050
treatment,comedy_traffic_pool_level,-0.066667,0.253708,-0.157455,0.024122,0.501125
treatment,lifestyle_traffic_pool_level,0.166667,0.461133,0.001652,0.331681,0.125344
