condition,metric,mean,std,ci95_low,ci95_high
baseline,total_views,320.000000,0.000000,320.000000,320.000000
baseline,total_shares,142.433333,4.546187,140.806501,144.060165
baseline,total_negative_feedback,34.066667,3.722562,32.734565,35.398769
baseline,avg_watch_ratio,0.635993,0.002337,0.635157,0.636829
baseline,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,comedy_negative_count,5.500000,1.196259,5.071924,5.928076
baseline,comedy_traffic_pool_level,0.866667,0.345746,0.742943,0.990390
baseline,lifestyle_traffic_pool_level,0.033333,0.182574,-0.032000,0.098667
none,total_views,320.000000,0.000000,320.000000,320.000000
none,total_shares,142.433333,4.546187,140.806501,144.060165
none,total_negative_feedback,0.000000,0.000000,0.000000,0.000000
none,avg_watch_ratio,0.635993,0.002337,0.635157,0.636829
none,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,comedy_negative_count,0.000000,0.000000,0.000000,0.000000
none,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
random,total_views,320.000000,0.000000,320.000000,320.000000
random,total_shares,143.133333,3.875060,141.746661,144.520006
random,total_negative_feedback,98.066667,8.362203,95.074291,101.059043
random,avg_watch_ratio,0.635897,0.002803,0.634894,0.636900
random,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,comedy_negative_count,6.033333,1.711691,5.420813,6.645854
random,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
treatment,total_views,320.000000,0.000000,320.000000,320.000000
treatment,total_shares,142.433333,4.546187,140.806501,144.060165
treatment,total_negative_feedback,41.533333,3.390996,40.319881,42.746785
treatment,avg_watch_ratio,0.635993,0.002337,0.635157,0.636829
treatment,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
treatment,comedy_negative_count,7.433333,1.072648,7.049491,7.817176
treatment,comedy_traffic_pool_level,0.700000,0.466092,0.533211,0.866789
treatment,lifestyle_traffic_pool_level,0.166667,0.379049,0.031026,0.302308
