condition,metric,mean,std,ci95_low,ci95_high
baseline,total_views,320.000000,0.000000,320.000000,320.000000
baseline,total_shares,141.500000,3.070999,140.401057,142.598943
baseline,total_negative_feedback,34.500000,4.329131,32.950840,36.049160
baseline,avg_watch_ratio,0.637316,0.001369,0.636826,0.637806
baseline,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,comedy_negative_count,5.566667,0.773854,5.289746,5.843587
baseline,comedy_traffic_pool_level,0.966667,0.182574,0.901333,1.032000
baseline,lifestyle_traffic_pool_level,0.033333,0.182574,-0.032000,0.098667
none,total_views,320.000000,0.000000,320.000000,320.000000
none,total_shares,141.500000,3.070999,140.401057,142.598943
none,total_negative_feedback,0.000000,0.000000,0.000000,0.000000
none,avg_watch_ratio,0.637316,0.001369,0.636826,0.637806
none,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,comedy_negative_count,0.000000,0.000000,0.000000,0.000000
none,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
random,total_views,320.000000,0.000000,320.000000,320.000000
random,total_shares,141.500000,3.431598,140.272019,142.727981
random,total_negative_feedback,95.166667,8.690396,92.056848,98.276485
random,avg_watch_ratio,0.637317,0.001086,0.636929,0.637706
random,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,comedy_negative_count,5.933333,1.552158,5.377901,6.488766
random,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
treatment,total_views,320.000000,0.000000,320.000000,320.000000
treatment,total_shares,141.500000,3.070999,140.401057,142.598943
treatment,total_negative_feedback,42.066667,4.266415,40.539950,43.593384
treatment,avg_watch_ratio,0.637316,0.001369,0.636826,0.637806
treatment,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
treatment,comedy_negative_count,7.433333,0.678911,7.190388,7.676278
treatment,comedy_traffic_pool_level,0.766667,0.430183,0.612728,0.920606
treatment,lifestyle_traffic_pool_level,0.233333,0.430183,0.079394,0.387272
