condition,metric,paired_diff_mean,paired_diff_std,paired_diff_ci95_low,paired_diff_ci95_high,paired_signflip_pvalue
none,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_shares,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_negative_feedback,-34.500000,4.329131,-36.049160,-32.950840,0.000050
none,avg_watch_ratio,0.000000,0.000000,0.000000,0.000000,1.000000
none,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
none,comedy_negative_count,-5.566667,0.773854,-5.843587,-5.289746,0.000050
none,comedy_traffic_pool_level,0.033333,0.182574,-0.032000,0.098667,1.000000
none,lifestyle_traffic_pool_level,-0.033333,0.182574,-0.098667,0.032000,1.000000
random,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
random,total_shares,0.000000,3.859605,-1.381142,1.381142,1.000000
random,total_negative_feedback,60.666667,9.556847,57.246793,64.086541,0.000050
random,avg_watch_ratio,0.000001,0.001681,-0.000600,0.000603,0.997000
random,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,comedy_negative_count,0.366667,1.473521,-0.160626,0.893959,0.225889
random,comedy_traffic_pool_level,0.033333,0.182574,-0.032000,0.098667,1.000000
random,lifestyle_traffic_pool_level,-0.033333,0.182574,-0.098667,0.032000,1.000000
treatment,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,total_shares,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,total_negative_feedback,7.566667,0.626062,7.342633,7.790700,0.000050
treatment,avg_watch_ratio,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,comedy_negative_count,1.866667,0.345746,1.742943,1.990390,0.000050
treatment,comedy_traffic_pool_level,-0.200000,0.406838,-0.345585,-0.054415,0.031348
treatment,lifestyle_traffic_pool_level,0.200000,0.406838,0.054415,0.345585,0.030648
