condition,metric,paired_diff_mean,paired_diff_std,paired_diff_ci95_low,paired_diff_ci95_high,paired_signflip_pvalue
none,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_shares,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_negative_feedback,-25.600000,3.069314,-26.698340,-24.501660,0.000050
none,avg_watch_ratio,0.000000,0.000000,0.000000,0.000000,1.000000
none,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
none,comedy_negative_count,-5.233333,0.678911,-5.476278,-4.990388,0.000050
none,comedy_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
none,lifestyle_traffic_pool_level,-0.033333,0.182574,-0.098667,0.032000,1.000000
random,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
random,total_shares,-0.366667,3.468910,-1.608000,0.874667,0.605020
random,total_negative_feedback,72.066667,8.237565,69.118892,75.014441,0.000050
random,avg_watch_ratio,0.001469,0.003016,0.000389,0.002548,0.011349
random,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,comedy_negative_count,1.033333,2.059182,0.296465,1.770202,0.014899
random,comedy_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,lifestyle_traffic_pool_level,-0.033333,0.182574,-0.098667,0.032000,1.000000
treatment,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,total_shares,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,total_negative_feedback,7.833333,0.461133,7.668319,7.998348,0.000050
treatment,avg_watch_ratio,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,comedy_negative_count,1.900000,0.305129,1.790811,2.009189,0.000050
treatment,comedy_traffic_pool_level,-0.066667,0.253708,-0.157455,0.024122,0.502125
treatment,lifestyle_traffic_pool_level,0.033333,0.182574,-0.032000,0.098667,1.000000
