condition,metric,mean,std,ci95_low,ci95_high
baseline,total_views,320.000000,0.000000,320.000000,320.000000
baseline,total_shares,141.000000,2.378061,140.149022,141.850978
baseline,total_negative_feedback,25.600000,3.069314,24.501660,26.698340
baseline,avg_watch_ratio,0.635360,0.002396,0.634502,0.636217
baseline,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,comedy_negative_count,5.233333,0.678911,4.990388,5.476278
baseline,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,lifestyle_traffic_pool_level,0.033333,0.182574,-0.032000,0.098667
none,total_views,320.000000,0.000000,320.000000,320.000000
none,total_shares,141.000000,2.378061,140.149022,141.850978
none,total_negative_feedback,0.000000,0.000000,0.000000,0.000000
none,avg_watch_ratio,0.635360,0.002396,0.634502,0.636217
none,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,comedy_negative_count,0.000000,0.000000,0.000000,0.000000
none,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
random,total_views,320.000000,0.000000,320.000000,320.000000
random,total_shares,140.633333,2.941772,139.580634,141.686033
random,total_negative_feedback,97.666667,7.879845,94.846900,100.486433
random,avg_watch_ratio,0.636828,0.002221,0.636034,0.637623
random,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,comedy_negative_count,6.266667,1.892514,5.589439,6.943894
random,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
treatment,total_views,320.000000,0.000000,320.000000,320.000000
treatment,total_shares,141.000000,2.378061,140.149022,141.850978
treatment,total_negative_feedback,33.433333,2.979046,32.367296,34.499371
treatment,avg_watch_ratio,0.635360,0.002396,0.634502,0.636217
treatment,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
treatment,comedy_negative_count,7.133333,0.507416,6.951757,7.314910
treatment,comedy_traffic_pool_level,0.933333,0.253708,0.842545,1.024122
treatment,lifestyle_traffic_pool_level,0.066667,0.253708,-0.024122,0.157455
