condition,metric,paired_diff_mean,paired_diff_std,paired_diff_ci95_low,paired_diff_ci95_high,paired_signflip_pvalue
none,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_shares,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_negative_feedback,-25.666667,3.230601,-26.822722,-24.510611,0.000050
none,avg_watch_ratio,0.000000,0.000000,0.000000,0.000000,1.000000
none,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
none,comedy_negative_count,-5.166667,0.530669,-5.356564,-4.976769,0.000050
none,comedy_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
none,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
random,total_shares,1.400000,4.271800,-0.128644,2.928644,0.091745
random,total_negative_feedback,72.033333,8.556036,68.971595,75.095071,0.000050
random,avg_watch_ratio,-0.000387,0.001578,-0.000952,0.000177,0.190690
random,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,comedy_negative_count,0.800000,2.006885,0.081846,1.518154,0.045198
random,comedy_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,total_shares,0.566667,3.024992,-0.515813,1.649146,0.337783
treatment,total_negative_feedback,5.233333,2.473073,4.348355,6.118311,0.000050
treatment,avg_watch_ratio,-0.000119,0.001425,-0.000629,0.000390,0.652317
treatment,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,comedy_negative_count,1.433333,0.626062,1.209300,1.657367,0.000050
treatment,comedy_traffic_pool_level,-0.100000,0.305129,-0.209189,0.009189,0.252487
treatment,lifestyle_traffic_pool_level,0.100000,0.305129,-0.009189,0.209189,0.250287
