condition,metric,mean,std,ci95_low,ci95_high
baseline,total_views,320.000000,0.000000,320.000000,320.000000
baseline,total_shares,140.000000,2.586437,139.074455,140.925545
baseline,total_negative_feedback,25.666667,3.230601,24.510611,26.822722
baseline,avg_watch_ratio,0.637308,0.001212,0.636875,0.637742
baseline,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,comedy_negative_count,5.166667,0.530669,4.976769,5.356564
baseline,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
none,total_views,320.000000,0.000000,320.000000,320.000000
none,total_shares,140.000000,2.586437,139.074455,140.925545
none,total_negative_feedback,0.000000,0.000000,0.000000,0.000000
none,avg_watch_ratio,0.637308,0.001212,0.636875,0.637742
none,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,comedy_negative_count,0.000000,0.000000,0.000000,0.000000
none,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
random,total_views,320.000000,0.000000,320.000000,320.000000
random,total_shares,141.400000,3.035423,140.313788,142.486212
random,total_negative_feedback,97.700000,9.154422,94.424132,100.975868
random,avg_watch_ratio,0.636921,0.001063,0.636541,0.637302
random,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,comedy_negative_count,5.966667,2.125110,5.206206,6.727127
random,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
treatment,total_views,320.000000,0.000000,320.000000,320.000000
treatment,total_shares,140.566667,2.979046,139.500629,141.632704
treatment,total_negative_feedback,30.900000,3.144234,29.774850,32.025150
treatment,avg_watch_ratio,0.637189,0.001031,0.636820,0.637558
treatment,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
treatment,comedy_negative_count,6.600000,0.894427,6.279933,6.920067
treatment,comedy_traffic_pool_level,0.900000,0.305129,0.790811,1.009189
treatment,lifestyle_traffic_pool_level,0.100000,0.305129,-0.009189,0.209189
