condition,metric,mean,std,ci95_low,ci95_high
baseline,total_views,320.000000,0.000000,320.000000,320.000000
baseline,total_shares,142.566667,3.945170,141.154906,143.978428
baseline,total_negative_feedback,33.633333,4.046994,32.185135,35.081532
baseline,avg_watch_ratio,0.636979,0.001301,0.636513,0.637444
baseline,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,comedy_negative_count,5.466667,0.681445,5.222815,5.710519
baseline,comedy_traffic_pool_level,0.933333,0.253708,0.842545,1.024122
baseline,lifestyle_traffic_pool_level,0.033333,0.182574,-0.032000,0.098667
none,total_views,320.000000,0.000000,320.000000,320.000000
none,total_shares,142.566667,3.945170,141.154906,143.978428
none,total_negative_feedback,0.000000,0.000000,0.000000,0.000000
none,avg_watch_ratio,0.636979,0.001301,0.636513,0.637444
none,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,comedy_negative_count,0.000000,0.000000,0.000000,0.000000
none,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
random,total_views,320.000000,0.000000,320.000000,320.000000
random,total_shares,142.333333,3.066317,141.236066,143.430601
random,total_negative_feedback,97.966667,7.453226,95.299564,100.633769
random,avg_watch_ratio,0.637004,0.001154,0.636591,0.637417
random,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,comedy_negative_count,6.533333,1.907035,5.850910,7.215757
random,comedy_traffic_pool_level,0.966667,0.182574,0.901333,1.032000
random,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
treatment,total_views,320.000000,0.000000,320.000000,320.000000
treatment,total_shares,142.633333,3.917101,141.231617,144.035050
treatment,total_negative_feedback,40.933333,3.814070,39.568486,42.298181
treatment,avg_watch_ratio,0.636937,0.001217,0.636502,0.637373
treatment,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
treatment,comedy_negative_count,6.833333,0.912871,6.506667,7.160000
treatment,comedy_traffic_pool_level,0.833333,0.379049,0.697692,0.968974
treatment,lifestyle_traffic_pool_level,0.100000,0.305129,-0.009189,0.209189
