condition,metric,paired_diff_mean,paired_diff_std,paired_diff_ci95_low,paired_diff_ci95_high,paired_signflip_pvalue
none,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_shares,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_negative_feedback,-33.633333,4.046994,-35.081532,-32.185135,0.000050
none,avg_watch_ratio,0.000000,0.000000,0.000000,0.000000,1.000000
none,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
none,comedy_negative_count,-5.466667,0.681445,-5.710519,-5.222815,0.000050
none,comedy_traffic_pool_level,0.066667,0.253708,-0.024122,0.157455,0.506125
none,lifestyle_traffic_pool_level,-0.033333,0.182574,-0.098667,0.032000,1.000000
random,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
random,total_shares,-0.233333,5.481526,-2.194872,1.728206,0.841408
random,total_negative_feedback,64.333333,8.679478,61.227422,67.439245,0.000050
random,avg_watch_ratio,0.000025,0.001432,-0.000488,0.000538,0.924404
random,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,comedy_negative_count,1.066667,2.148509,0.297833,1.835501,0.014649
random,comedy_traffic_pool_level,0.033333,0.319842,-0.081121,0.147787,1.000000
random,lifestyle_traffic_pool_level,-0.033333,0.182574,-0.098667,0.032000,1.000000
treatment,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,total_shares,0.066667,3.289831,-1.110584,1.243918,0.956452
treatment,total_negative_feedback,7.300000,4.364038,5.738349,8.861651,0.000050
treatment,avg_watch_ratio,-0.000041,0.001431,-0.000554,0.000471,0.876556
treatment,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,comedy_negative_count,1.366667,0.718395,1.109592,1.623741,0.000050
treatment,comedy_traffic_pool_level,-0.100000,0.402578,-0.244061,0.044061,0.374831
treatment,lifestyle_traffic_pool_level,0.066667,0.365148,-0.064000,0.197333,0.621219
