condition,metric,mean,std,ci95_low,ci95_high
baseline,total_views,320.000000,0.000000,320.000000,320.000000
baseline,total_shares,141.733333,2.947042,140.678748,142.787919
baseline,total_negative_feedback,25.233333,2.207875,24.443255,26.023411
baseline,avg_watch_ratio,0.634181,0.003857,0.632801,0.635561
baseline,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,comedy_negative_count,5.066667,0.583292,4.857938,5.275395
baseline,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
none,total_views,320.000000,0.000000,320.000000,320.000000
none,total_shares,141.733333,2.947042,140.678748,142.787919
none,total_negative_feedback,0.000000,0.000000,0.000000,0.000000
none,avg_watch_ratio,0.634181,0.003857,0.632801,0.635561
none,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,comedy_negative_count,0.000000,0.000000,0.000000,0.000000
none,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
random,total_views,320.000000,0.000000,320.000000,320.000000
random,total_shares,140.166667,2.436551,139.294758,141.038575
random,total_negative_feedback,96.200000,9.312209,92.867669,99.532331
random,avg_watch_ratio,0.633571,0.003252,0.632407,0.634734
random,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,comedy_negative_count,5.833333,1.620629,5.253399,6.413268
random,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,lifestyle_traffic_pool_level,0.033333,0.182574,-0.032000,0.098667
treatment,total_views,320.000000,0.000000,320.000000,320.000000
treatment,total_shares,141.566667,2.344227,140.727796,142.405538
treatment,total_negative_feedback,31.700000,2.937862,30.648700,32.751300
treatment,avg_watch_ratio,0.634933,0.003589,0.633649,0.636218
treatment,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
treatment,comedy_negative_count,6.633333,0.764890,6.359621,6.907046
treatment,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
treatment,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
