condition,metric,paired_diff_mean,paired_diff_std,paired_diff_ci95_low,paired_diff_ci95_high,paired_signflip_pvalue
none,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_shares,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_negative_feedback,-25.233333,2.207875,-26.023411,-24.443255,0.000050
none,avg_watch_ratio,0.000000,0.000000,0.000000,0.000000,1.000000
none,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
none,comedy_negative_count,-5.066667,0.583292,-5.275395,-4.857938,0.000050
none,comedy_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
none,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
random,total_shares,-1.566667,3.328905,-2.757900,-0.375433,0.015999
random,total_negative_feedback,70.966667,9.820750,67.452356,74.480977,0.000050
random,avg_watch_ratio,-0.000610,0.005138,-0.002449,0.001229,0.527074
random,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,comedy_negative_count,0.766667,1.851064,0.104272,1.429061,0.038998
random,comedy_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,lifestyle_traffic_pool_level,0.033333,0.182574,-0.032000,0.098667,1.000000
treatment,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,total_shares,-0.166667,3.206495,-1.314096,0.980763,0.824109
treatment,total_negative_feedback,6.466667,3.002681,5.392171,7.541162,0.000050
treatment,avg_watch_ratio,0.000753,0.003161,-0.000378,0.001884,0.209090
treatment,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,comedy_negative_count,1.566667,0.568321,1.363296,1.770038,0.000050
treatment,comedy_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
