condition,metric,paired_diff_mean,paired_diff_std,paired_diff_ci95_low,paired_diff_ci95_high,paired_signflip_pvalue
none,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_shares,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_negative_feedback,-33.533333,3.692801,-34.854785,-32.211881,0.000050
none,avg_watch_ratio,0.000000,0.000000,0.000000,0.000000,1.000000
none,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
none,comedy_negative_count,-5.533333,0.819307,-5.826519,-5.240148,0.000050
none,comedy_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
none,lifestyle_traffic_pool_level,-0.066667,0.253708,-0.157455,0.024122,0.497825
random,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
random,total_shares,1.100000,4.581447,-0.539450,2.739450,0.208040
random,total_negative_feedback,62.433333,9.743905,58.946522,65.920145,0.000050
random,avg_watch_ratio,-0.000741,0.004474,-0.002342,0.000860,0.374731
random,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,comedy_negative_count,0.900000,2.233754,0.100662,1.699338,0.042148
random,comedy_traffic_pool_level,-0.066667,0.253708,-0.157455,0.024122,0.498475
random,lifestyle_traffic_pool_level,0.033333,0.413841,-0.114758,0.181424,1.000000
treatment,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,total_shares,-0.400000,4.553135,-2.029318,1.229318,0.662917
treatment,total_negative_feedback,7.066667,5.323554,5.161657,8.971676,0.000050
treatment,avg_watch_ratio,-0.001135,0.003584,-0.002418,0.000148,0.093095
treatment,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,comedy_negative_count,1.466667,0.681445,1.222815,1.710519,0.000050
treatment,comedy_traffic_pool_level,-0.133333,0.345746,-0.257057,-0.009610,0.121144
treatment,lifestyle_traffic_pool_level,0.066667,0.449776,-0.094284,0.227617,0.689416
