condition,metric,mean,std,ci95_low,ci95_high
baseline,total_views,320.000000,0.000000,320.000000,320.000000
baseline,total_shares,141.066667,4.242099,139.548651,142.584682
baseline,total_negative_feedback,33.533333,3.692801,32.211881,34.854785
baseline,avg_watch_ratio,0.635149,0.003238,0.633991,0.636308
baseline,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,comedy_negative_count,5.533333,0.819307,5.240148,5.826519
baseline,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,lifestyle_traffic_pool_level,0.066667,0.253708,-0.024122,0.157455
none,total_views,320.000000,0.000000,320.000000,320.000000
none,total_shares,141.066667,4.242099,139.548651,142.584682
none,total_negative_feedback,0.000000,0.000000,0.000000,0.000000
none,avg_watch_ratio,0.635149,0.003238,0.633991,0.636308
none,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,comedy_negative_count,0.000000,0.000000,0.000000,0.000000
none,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
random,total_views,320.000000,0.000000,320.000000,320.000000
random,total_shares,142.166667,3.018144,141.086638,143.246696
random,total_negative_feedback,95.966667,8.206319,93.030073,98.903260
random,avg_watch_ratio,0.634408,0.003788,0.633053,0.635764
random,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,comedy_negative_count,6.433333,1.941974,5.738407,7.128260
random,comedy_traffic_pool_level,0.933333,0.253708,0.842545,1.024122
random,lifestyle_traffic_pool_level,0.100000,0.305129,-0.009189,0.209189
treatment,total_views,320.000000,0.000000,320.000000,320.000000
treatment,total_shares,140.666667,3.099870,139.557392,141.775941
treatment,total_negative_feedback,40.600000,4.414709,39.020217,42.179783
treatment,avg_watch_ratio,0.634014,0.002818,0.633006,0.635023
treatment,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
treatment,comedy_negative_count,7.000000,0.870988,6.688321,7.311679
treatment,comedy_traffic_pool_level,0.866667,0.345746,0.742943,0.990390
treatment,lifestyle_traffic_pool_level,0.133333,0.345746,0.009610,0.257057
