condition,metric,paired_diff_mean,paired_diff_std,paired_diff_ci95_low,paired_diff_ci95_high,paired_signflip_pvalue
none,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_shares,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_negative_feedback,-25.466667,2.596195,-26.395703,-24.537630,0.000050
none,avg_watch_ratio,0.000000,0.000000,0.000000,0.000000,1.000000
none,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
none,comedy_negative_count,-5.166667,0.647719,-5.398450,-4.934883,0.000050
none,comedy_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
none,lifestyle_traffic_pool_level,-0.033333,0.182574,-0.098667,0.032000,1.000000
random,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
random,total_shares,0.966667,3.557249,-0.306279,2.239612,0.159992
random,total_negative_feedback,70.100000,8.117032,67.195357,73.004643,0.000050
random,avg_watch_ratio,-0.000070,0.001779,-0.000707,0.000566,0.831808
random,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,comedy_negative_count,0.733333,2.227312,-0.063700,1.530367,0.094995
random,comedy_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,lifestyle_traffic_pool_level,-0.033333,0.182574,-0.098667,0.032000,1.000000
treatment,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,total_shares,0.366667,2.999808,-0.706801,1.440134,0.540023
treatment,total_negative_feedback,6.433333,2.095699,5.683397,7.183270,0.000050
treatment,avg_watch_ratio,0.000246,0.001339,-0.000234,0.000725,0.313384
treatment,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,comedy_negative_count,1.600000,0.563242,1.398446,1.801554,0.000050
treatment,comedy_traffic_pool_level,-0.066667,0.253708,-0.157455,0.024122,0.499025
treatment,lifestyle_traffic_pool_level,0.066667,0.365148,-0.064000,0.197333,0.620769
