condition,metric,paired_diff_mean,paired_diff_std,paired_diff_ci95_low,paired_diff_ci95_high,paired_signflip_pvalue
none,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_shares,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_negative_feedback,-34.833333,5.106340,-36.660614,-33.006053,0.000050
none,avg_watch_ratio,0.000000,0.000000,0.000000,0.000000,1.000000
none,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
none,comedy_negative_count,-5.533333,1.008014,-5.894046,-5.172620,0.000050
none,comedy_traffic_pool_level,0.033333,0.182574,-0.032000,0.098667,1.000000
none,lifestyle_traffic_pool_level,-0.033333,0.182574,-0.098667,0.032000,1.000000
random,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
random,total_shares,0.233333,5.184083,-1.621767,2.088433,0.832708
random,total_negative_feedback,59.966667,7.420769,57.311178,62.622155,0.000050
random,avg_watch_ratio,-0.000141,0.001193,-0.000568,0.000286,0.526274
random,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,comedy_negative_count,0.366667,2.965123,-0.694389,1.427722,0.532573
random,comedy_traffic_pool_level,0.000000,0.262613,-0.093975,0.093975,1.000000
random,lifestyle_traffic_pool_level,0.000000,0.262613,-0.093975,0.093975,1.000000
treatment,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,total_shares,-0.500000,4.681217,-2.175152,1.175152,0.591220
treatment,total_negative_feedback,5.033333,5.410611,3.097171,6.969496,0.000100
treatment,avg_watch_ratio,-0.000085,0.001000,-0.000443,0.000273,0.646268
treatment,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,comedy_negative_count,1.633333,0.556053,1.434352,1.832314,0.000050
treatment,comedy_traffic_pool_level,-0.200000,0.406838,-0.345585,-0.054415,0.030698
treatment,lifestyle_traffic_pool_level,0.200000,0.484234,0.026719,0.373281,0.071246
