condition,metric,mean,std,ci95_low,ci95_high
baseline,total_views,320.000000,0.000000,320.000000,320.000000
baseline,total_shares,141.633333,3.595815,140.346587,142.920079
baseline,total_negative_feedback,34.833333,5.106340,33.006053,36.660614
baseline,avg_watch_ratio,0.637395,0.001138,0.636988,0.637802
baseline,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,comedy_negative_count,5.533333,1.008014,5.172620,5.894046
baseline,comedy_traffic_pool_level,0.966667,0.182574,0.901333,1.032000
baseline,lifestyle_traffic_pool_level,0.033333,0.182574,-0.032000,0.098667
none,total_views,320.000000,0.000000,320.000000,320.000000
none,total_shares,141.633333,3.595815,140.346587,142.920079
none,total_negative_feedback,0.000000,0.000000,0.000000,0.000000
none,avg_watch_ratio,0.637395,0.001138,0.636988,0.637802
none,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,comedy_negative_count,0.000000,0.000000,0.000000,0.000000
none,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
random,total_views,320.000000,0.000000,320.000000,320.000000
random,total_shares,141.866667,3.645813,140.562029,143.171304
random,total_negative_feedback,94.800000,6.681937,92.408900,97.191100
random,avg_watch_ratio,0.637254,0.001100,0.636860,0.637648
random,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,comedy_negative_count,5.900000,2.617580,4.963311,6.836689
random,comedy_traffic_pool_level,0.966667,0.182574,0.901333,1.032000
random,lifestyle_traffic_pool_level,0.033333,0.182574,-0.032000,0.098667
treatment,total_views,320.000000,0.000000,320.000000,320.000000
treatment,total_shares,141.133333,4.040599,139.687424,142.579243
treatment,total_negative_feedback,39.866667,3.421366,38.642346,41.090987
treatment,avg_watch_ratio,0.637310,0.000934,0.636975,0.637644
treatment,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
treatment,comedy_negative_count,7.166667,0.985527,6.814000,7.519333
treatment,comedy_traffic_pool_level,0.766667,0.430183,0.612728,0.920606
treatment,lifestyle_traffic_pool_level,0.233333,0.430183,0.079394,0.387272
