condition,metric,paired_diff_mean,paired_diff_std,paired_diff_ci95_low,paired_diff_ci95_high,paired_signflip_pvalue
none,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_shares,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_negative_feedback,-24.900000,1.881855,-25.573413,-24.226587,0.000050
none,avg_watch_ratio,0.000000,0.000000,0.000000,0.000000,1.000000
none,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
none,comedy_negative_count,-5.200000,0.484234,-5.373281,-5.026719,0.000050
none,comedy_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
none,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
random,total_shares,-0.333333,4.121712,-1.808269,1.141602,0.696515
random,total_negative_feedback,69.300000,8.175447,66.374454,72.225546,0.000050
random,avg_watch_ratio,-0.001491,0.003834,-0.002863,-0.000120,0.041848
random,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,comedy_negative_count,0.100000,2.186952,-0.682591,0.882591,0.868907
random,comedy_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,total_shares,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,total_negative_feedback,7.933333,0.253708,7.842545,8.024122,0.000050
treatment,avg_watch_ratio,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,comedy_negative_count,2.000000,0.000000,2.000000,2.000000,0.000050
treatment,comedy_traffic_pool_level,-0.066667,0.253708,-0.157455,0.024122,0.498575
treatment,lifestyle_traffic_pool_level,0.033333,0.182574,-0.032000,0.098667,1.000000
