condition,metric,mean,std,ci95_low,ci95_high
baseline,total_views,320.000000,0.000000,320.000000,320.000000
baseline,total_shares,140.600000,3.012617,139.521949,141.678051
baseline,total_negative_feedback,24.900000,1.881855,24.226587,25.573413
baseline,avg_watch_ratio,0.635461,0.003798,0.634101,0.636820
baseline,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,comedy_negative_count,5.200000,0.484234,5.026719,5.373281
baseline,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
none,total_views,320.000000,0.000000,320.000000,320.000000
none,total_shares,140.600000,3.012617,139.521949,141.678051
none,total_negative_feedback,0.000000,0.000000,0.000000,0.000000
none,avg_watch_ratio,0.635461,0.003798,0.634101,0.636820
none,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,comedy_negative_count,0.000000,0.000000,0.000000,0.000000
none,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
random,total_views,320.000000,0.000000,320.000000,320.000000
random,total_shares,140.266667,3.194104,139.123671,141.409662
random,total_negative_feedback,94.200000,8.474709,91.167364,97.232636
random,avg_watch_ratio,0.633969,0.003149,0.632842,0.635096
random,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,comedy_negative_count,5.300000,2.103363,4.547321,6.052679
random,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
treatment,total_views,320.000000,0.000000,320.000000,320.000000
treatment,total_shares,140.600000,3.012617,139.521949,141.678051
treatment,total_negative_feedback,32.833333,1.931291,32.142230,33.524437
treatment,avg_watch_ratio,0.635461,0.003798,0.634101,0.636820
treatment,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
treatment,comedy_negative_count,7.200000,0.484234,7.026719,7.373281
treatment,comedy_traffic_pool_level,0.933333,0.253708,0.842545,1.024122
treatment,lifestyle_traffic_pool_level,0.033333,0.182574,-0.032000,0.098667
