condition,metric,mean,std,ci95_low,ci95_high
baseline,total_views,320.000000,0.000000,320.000000,320.000000
baseline,total_shares,140.700000,2.534588,139.793009,141.606991
baseline,total_negative_feedback,25.866667,2.501494,24.971519,26.761815
baseline,avg_watch_ratio,0.635851,0.002252,0.635045,0.636657
baseline,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,comedy_negative_count,5.166667,0.530669,4.976769,5.356564
baseline,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
none,total_views,320.000000,0.000000,320.000000,320.000000
none,total_shares,140.700000,2.534588,139.793009,141.606991
none,total_negative_feedback,0.000000,0.000000,0.000000,0.000000
none,avg_watch_ratio,0.635851,0.002252,0.635045,0.636657
none,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,comedy_negative_count,0.000000,0.000000,0.000000,0.000000
none,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
random,total_views,320.000000,0.000000,320.000000,320.000000
random,total_shares,140.500000,1.776280,139.864366,141.135634
random,total_negative_feedback,97.500000,8.993293,94.281792,100.718208
random,avg_watch_ratio,0.636529,0.002931,0.635480,0.637577
random,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,comedy_negative_count,6.233333,1.735697,5.612222,6.854444
random,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
treatment,total_views,320.000000,0.000000,320.000000,320.000000
treatment,total_shares,140.500000,2.529141,139.594959,141.405041
treatment,total_negative_feedback,31.566667,3.136914,30.444136,32.689197
treatment,avg_watch_ratio,0.636688,0.002479,0.635801,0.637575
treatment,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
treatment,comedy_negative_count,6.433333,0.858360,6.126173,6.740493
treatment,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
treatment,lifestyle_traffic_pool_level,0.066667,0.253708,-0.024122,0.157455
