condition,metric,paired_diff_mean,paired_diff_std,paired_diff_ci95_low,paired_diff_ci95_high,paired_signflip_pvalue
none,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_shares,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_negative_feedback,-25.866667,2.501494,-26.761815,-24.971519,0.000050
none,avg_watch_ratio,0.000000,0.000000,0.000000,0.000000,1.000000
none,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
none,comedy_negative_count,-5.166667,0.530669,-5.356564,-4.976769,0.000050
none,comedy_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
none,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
random,total_shares,-0.200000,3.067066,-1.297536,0.897536,0.764612
random,total_negative_feedback,71.633333,9.998218,68.055517,75.211150,0.000050
random,avg_watch_ratio,0.000678,0.003426,-0.000548,0.001904,0.283286
random,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,comedy_negative_count,1.066667,1.837039,0.409291,1.724043,0.004800
random,comedy_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,total_shares,-0.200000,2.537987,-1.108207,0.708207,0.722414
treatment,total_negative_feedback,5.700000,2.561654,4.783324,6.616676,0.000050
treatment,avg_watch_ratio,0.000837,0.002741,-0.000144,0.001818,0.103795
treatment,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,comedy_negative_count,1.266667,0.691492,1.019220,1.514114,0.000050
treatment,comedy_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,lifestyle_traffic_pool_level,0.066667,0.253708,-0.024122,0.157455,0.496975
