condition,metric,mean,std,ci95_low,ci95_high
baseline,total_views,320.000000,0.000000,320.000000,320.000000
baseline,total_shares,141.133333,2.473770,140.248106,142.018561
baseline,total_negative_feedback,26.133333,2.825174,25.122358,27.144309
baseline,avg_watch_ratio,0.637241,0.000977,0.636892,0.637591
baseline,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,comedy_negative_count,5.366667,0.556053,5.167686,5.565648
baseline,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
none,total_views,320.000000,0.000000,320.000000,320.000000
none,total_shares,141.133333,2.473770,140.248106,142.018561
none,total_negative_feedback,0.000000,0.000000,0.000000,0.000000
none,avg_watch_ratio,0.637241,0.000977,0.636892,0.637591
none,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,comedy_negative_count,0.000000,0.000000,0.000000,0.000000
none,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
random,total_views,320.000000,0.000000,320.000000,320.000000
random,total_shares,141.566667,3.070250,140.467992,142.665342
random,total_negative_feedback,97.266667,9.062744,94.023605,100.509728
random,avg_watch_ratio,0.637251,0.000983,0.636900,0.637603
random,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,comedy_negative_count,6.366667,1.790460,5.725959,7.007375
random,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
treatment,total_views,320.000000,0.000000,320.000000,320.000000
treatment,total_shares,141.133333,2.473770,140.248106,142.018561
treatment,total_negative_feedback,33.900000,2.892916,32.864783,34.935217
treatment,avg_watch_ratio,0.637241,0.000977,0.636892,0.637591
treatment,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
treatment,comedy_negative_count,7.266667,0.449776,7.105716,7.427617
treatment,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
treatment,lifestyle_traffic_pool_level,0.033333,0.182574,-0.032000,0.098667
