condition,metric,mean,std,ci95_low,ci95_high
baseline,total_views,320.000000,0.000000,320.000000,320.000000
baseline,total_shares,141.600000,2.660049,140.648114,142.551886
baseline,total_negative_feedback,32.966667,4.029917,31.524579,34.408754
baseline,avg_watch_ratio,0.635771,0.002543,0.634861,0.636680
baseline,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
baseline,comedy_negative_count,5.500000,0.820008,5.206564,5.793436
baseline,comedy_traffic_pool_level,0.966667,0.182574,0.901333,1.032000
baseline,lifestyle_traffic_pool_level,0.066667,0.253708,-0.024122,0.157455
none,total_views,320.000000,0.000000,320.000000,320.000000
none,total_shares,141.600000,2.660049,140.648114,142.551886
none,total_negative_feedback,0.000000,0.000000,0.000000,0.000000
none,avg_watch_ratio,0.635771,0.002543,0.634861,0.636680
none,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,comedy_negative_count,0.000000,0.000000,0.000000,0.000000
none,comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
none,lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000
random,total_views,320.000000,0.000000,320.000000,320.000000
random,total_shares,141.266667,3.551914,139.995631,142.537703
random,total_negative_feedback,96.933333,7.674109,94.187189,99.679478
random,avg_watch_ratio,0.637222,0.002445,0.636347,0.638097
random,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
random,comedy_negative_count,6.433333,2.112089,5.677532,7.189135
random,comedy_traffic_pool_level,0.966667,0.182574,0.901333,1.032000
random,lifestyle_traffic_pool_level,0.066667,0.253708,-0.024122,0.157455
treatment,total_views,320.000000,0.000000,320.000000,320.000000
treatment,total_shares,141.733333,3.095417,140.625652,142.841014
treatment,total_negative_feedback,38.266667,3.759433,36.921371,39.611962
treatment,avg_watch_ratio,0.636337,0.002620,0.635400,0.637275
treatment,avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000
treatment,comedy_negative_count,6.900000,0.922889,6.569748,7.230252
treatment,comedy_traffic_pool_level,0.900000,0.305129,0.790811,1.009189
treatment,lifestyle_traffic_pool_level,0.100000,0.305129,-0.009189,0.209189
