condition,metric,paired_diff_mean,paired_diff_std,paired_diff_ci95_low,paired_diff_ci95_high,paired_signflip_pvalue
none,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_shares,0.000000,0.000000,0.000000,0.000000,1.000000
none,total_negative_feedback,-32.966667,4.029917,-34.408754,-31.524579,0.000050
none,avg_watch_ratio,0.000000,0.000000,0.000000,0.000000,1.000000
none,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
none,comedy_negative_count,-5.500000,0.820008,-5.793436,-5.206564,0.000050
none,comedy_traffic_pool_level,0.033333,0.182574,-0.032000,0.098667,1.000000
none,lifestyle_traffic_pool_level,-0.066667,0.253708,-0.157455,0.024122,0.500225
random,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
random,total_shares,-0.333333,4.325811,-1.881305,1.214638,0.708465
random,total_negative_feedback,63.966667,9.057225,60.725580,67.207753,0.000050
random,avg_watch_ratio,0.001452,0.002821,0.000442,0.002461,0.009150
random,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
random,comedy_negative_count,0.933333,1.928611,0.243189,1.623478,0.016149
random,comedy_traffic_pool_level,0.000000,0.262613,-0.093975,0.093975,1.000000
random,lifestyle_traffic_pool_level,0.000000,0.371391,-0.132900,0.132900,1.000000
treatment,total_views,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,total_shares,0.133333,3.928089,-1.272315,1.538982,0.891455
treatment,total_negative_feedback,5.300000,3.966671,3.880545,6.719455,0.000050
treatment,avg_watch_ratio,0.000567,0.003335,-0.000627,0.001760,0.363732
treatment,avg_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,1.000000
treatment,comedy_negative_count,1.400000,0.674665,1.158574,1.641426,0.000050
treatment,comedy_traffic_pool_level,-0.066667,0.253708,-0.157455,0.024122,0.499475
treatment,lifestyle_traffic_pool_level,0.033333,0.413841,-0.114758,0.181424,1.000000
